id, position_x, position_y, position_z, pressure, acceleration_0, acceleration_1, acceleration_2, magnetic_0, magnetic_1, magnetic_2, angular_vel_0, angular_vel_1, angular_vel_2, euler_angles_0, euler_angles_1, euler_angles_2, quaternion_0, quaternion_1, quaternion_2, quaternion_3, linear_acceleration_0, linear_acceleration_1, linear_acceleration_2, gravity_vector_0, gravity_vector_1, gravity_vector_2, temperature
0x6737,850,6572,730,100311000,-321,-846,319,-1212,171,-339,105,-357,-190,4337,-272,1079,9665,-8285,-4056,9483,-34,19,-39,-287,-866,358,33
0x694c,2070,5305,-191,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,888,6831,1122,100308500,4,-824,467,-1302,224,-521,501,-435,52,4343,-28,977,10104,-6165,-5599,9848,34,33,-6,-30,-858,473,32
0x694c,2103,5130,5453,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,816,6948,928,100320750,106,-809,564,-1416,164,-729,436,-83,-601,4321,169,847,10386,-3859,-6276,10309,-72,-54,0,185,-765,584,32
0x694c,2090,5022,5417,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,707,6967,4715,100321000,188,-353,684,-1457,27,-878,3431,808,-1201,4522,317,350,12376,-523,-4103,9908,-144,-9,-171,333,-344,855,32
0x694c,2005,4899,5448,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,876,7060,813,100315750,14,50,995,-92,-625,-619,444,834,975,4006,21,-145,9415,910,951,13344,-8,-104,27,23,155,968,32
0x694c,2180,5132,5502,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x694c,2003,4938,5475,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
